,Ticket Number,Violation Date,Violation Time,Issuing Agency,Respondent Last Name,Respondent First Name,Balance Due,Violation Location (Borough),Violation Location (Block No.),Violation Location (Lot No.),Violation Location (House #),Violation Location (Street Name),Violation Location (Floor),Violation Location (City),Violation Location (Zip Code),Violation Location (State Name),Respondent Address (Borough),Respondent Address (House #),Respondent Address (Street Name),Respondent Address (City),Respondent Address (Zip Code),Respondent Address (State Name),Hearing Status,Hearing Result,Scheduled Hearing Location,Hearing Date,Hearing Time,Decision Location (Borough),Decision Date,Total Violation Amount,Violation Details,Date Judgment Docketed,Respondent Address or Facility Number(For FDNY and DOB Tickets),Penalty Imposed,Paid Amount,Additional Penalties or Late Fees,Compliance Status,Violation Description,Charge #1: Code,Charge #1: Code Section,Charge #1: Code Description,Charge #1: Infraction Amount,Charge #2: Code,Charge #2: Code Section,Charge #2: Code Description,Charge #2: Infraction Amount,Charge #3: Code,Charge #3: Code Section,Charge #3: Code Description,Charge #3: Infraction Amount,Charge #4: Code,Charge #4: Code Section,Charge #4: Code Description,Charge #4: Infraction Amount,Charge #5: Code,Charge #5: Code Section,Charge #5: Code Description,Charge #5: Infraction Amount,Charge #6: Code,Charge #6: Code Section,Charge #6: Code Description,Charge #6: Infraction Amount,Charge #7: Code,Charge #7: Code Section,Charge #7: Code Description,Charge #7: Infraction Amount,Charge #8: Code,Charge #8: Code Section,Charge #8: Code Description,Charge #8: Infraction Amount,Charge #9: Code,Charge #9: Code Section,Charge #9: Code Description,Charge #9: Infraction Amount,Charge #10: Code,Charge #10: Code Section,Charge #10: Code Description,Charge #10: Infraction Amount,BBL
250,037000185X,09/21/2015,11:10:00,DEPT. OF BUILDINGS,JAY T. SNYDER,,$0.00,1,00816,0031,5,WEST 14 STREET,,MANHATTAN,10011.0,NEW YORK,MANHATTAN,440,9 AVENUE,NEW YORK,10001.0,NEW YORK,HEARING COMPLETED,DISMISSED,MANHATTAN,02/18/2016,08:30:00,MANHATTAN,02/18/2016,$800.00,FAILURE TO REGISTER COOLING TOWER; REMEDY: COMPLY W CODE,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1008160031
251,037000239M,09/21/2015,03:10:00,DEPT. OF BUILDINGS,AMERICAN BROADCASTING CO,,$0.00,1,01171,0060,121,WEST END AVENUE,,MANHATTAN,10023.0,NEW YORK,NOT NYC,,P.O. BOX 313,GLENDALE,91209.0,CALIFORNIA,HEARING COMPLETED,IN VIOLATION,MANHATTAN,11/12/2015,10:30:00,MANHATTAN,10/07/2015,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER.REM COMPLY W CODE,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1011710060
252,037000196L,09/21/2015,03:35:00,DEPT. OF BUILDINGS,ROYAL CROSPIN CORP,,$0.00,1,00497,0012,552,BROADWAY,,NY,10012.0,NEW YORK,MANHATTAN,552,BROADWAY,NY,10012.0,NEW YORK,HEARING COMPLETED,IN VIOLATION,MANHATTAN,11/12/2015,10:30:00,MANHATTAN,10/15/2015,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER. RMDY: COMPLY W CODE.,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1004970012
253,037000236R,09/21/2015,05:20:00,DEPT. OF BUILDINGS,WEST VILLAGE HOLDINGS LLC,,$0.00,1,00607,0001,7,7 AVENUE,,MANHATTAN,10011.0,NEW YORK,MANHATTAN,345,PARK AVENUE,NEW YORK,10154.0,NEW YORK,HEARING COMPLETED,IN VIOLATION,MANHATTAN,11/12/2015,10:30:00,MANHATTAN,10/20/2015,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER.REM COMPLY W CODE,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1006070001
254,037000218N,09/21/2015,12:30:00,DEPT. OF BUILDINGS,LINCOLN CENTER FOR THE PERFORM,,$0.00,1,01134,0001,100,WEST 65 STREET,,NY,10023.0,NEW YORK,MANHATTAN,60,COLUMBUS AVENUE,NY,10023.0,NEW YORK,HEARING COMPLETED,IN VIOLATION,MANHATTAN,11/12/2015,10:30:00,MANHATTAN,10/28/2015,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER. RMDY: COMPLY W CODE.,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1011340001
255,037000199R,09/21/2015,12:45:00,DEPT. OF BUILDINGS,627 GREENWICH OWNER LLC,,$0.00,1,00602,0058,82,MORTON STREET,,MANHATTAN,10014.0,NEW YORK,MANHATTAN,885,3 AVENUE,NEW YORK,10022.0,NEW YORK,HEARING COMPLETED,DISMISSED,MANHATTAN,10/30/2015,10:30:00,MANHATTAN,10/30/2015,$800.00,FAILURE TO REGISTER COOLING TOWER; REMEDY: COMPLY W CODE,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1006020058
256,037000228R,09/21/2015,03:40:00,DEPT. OF BUILDINGS,ST HILDAS ST HUGHS S C,,$0.00,1,01896,0009,616,WEST 115 STREET,,MANHATTAN,10025.0,NEW YORK,MANHATTAN,619,WEST 114 STREET,NEW YORK,10025.0,NEW YORK,HEARING COMPLETED,DISMISSED,MANHATTAN,11/04/2015,10:30:00,MANHATTAN,11/04/2015,$800.00,FAILURE TO REGISTER COOLING TOWER; REMEDY: COMPLY W CODE,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1018960009
257,037000213Y,09/21/2015,02:10:00,DEPT. OF BUILDINGS,SHUBERT ORG,,$0.00,1,01024,0046,226,WEST 53 STREET,,NY,10019.0,NEW YORK,MANHATTAN,234,WEST 44 STREET,NY,10036.0,NEW YORK,HEARING COMPLETED,IN VIOLATION,MANHATTAN,11/12/2015,10:30:00,MANHATTAN,11/06/2015,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER. RMDY:COMPLY W CODE,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1010240046
258,037000288Z,09/21/2015,07:05:00,DEPT. OF BUILDINGS,DORMITORY CUNY,042,$0.00,1,01957,0100,275,ST NICHOLAS TERRACE,,MH,10031.0,NEW YORK,MANHATTAN,181,CONVENT AVENUE,NY,10031.0,NEW YORK,WRITTEN OFF,POP IN-VIOL,MANHATTAN,11/12/2015,10:30:00,,09/25/2015,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER.REM:COMPLY WITH CODE,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1019570100
259,037000340R,09/21/2015,06:43:00,DEPT. OF BUILDINGS,DEPT OF GENERAL SERVICES,8 126,$0.00,2,,0000,2670,DR KAZIMIROFF BOULEVARD,,BX,,NEW YORK,MANHATTAN,2,LAFAYETTE STREET,NY,10007.0,NEW YORK,HEARING COMPLETED,IN VIOLATION,BRONX,11/20/2015,10:30:00,STATEN IS,10/07/2015,$800.00,SEC. 287-317.3 FAILURE TO REGISTER COOLING TOWER. REMEDY: COMPLY W CODE.,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20000
260,037000203K,09/21/2015,10:00:00,DEPT. OF BUILDINGS,413 WEST 14 ASSOCS,,$0.00,1,00712,0021,413,WEST 14 STREET,,MANHATTAN,10014.0,NEW YORK,MANHATTAN,421,WEST 13 STREET,NEW YORK,10014.0,NEW YORK,HEARING COMPLETED,DISMISSED,MANHATTAN,03/31/2016,08:30:00,MANHATTAN,03/31/2016,$800.00,FAILURE TO REGISTER COOLING TOWER; REMEDY: COMPLY W CODE,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1007120021
261,037000205Y,09/21/2015,04:10:00,DEPT. OF BUILDINGS,214 WEST 39TH ST,,$0.00,1,00788,0056,216,WEST 39 STREET,,NY,10018.0,NEW YORK,MANHATTAN,214,WEST 39 STREET,NY,10018.0,NEW YORK,HEARING COMPLETED,DISMISSED,MANHATTAN,04/28/2016,08:30:00,MANHATTAN,04/28/2016,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER. RMDY:COMPLY W CODE,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1007880056
262,037000220M,09/21/2015,12:00:00,DEPT. OF BUILDINGS,754 FIFTH AVENUE ASSOC,,$4000.00,1,01293,0069,745,5 AVENUE,,MANHATTAN,10022.0,NEW YORK,NOT NYC,1201,ELM ST,DALLAS,75270.0,TEXAS,DOCKETED,DEFAULTED,MANHATTAN,11/12/2015,10:30:00,,11/17/2015,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER.REM COMPLY W CODE.,02/29/2016,,$4000.00,$0.00,$0.00,Both Due,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1012930069
263,037000246K,09/21/2015,04:30:00,DEPT. OF BUILDINGS,960 ASSOCIATES LLC,,$0.00,1,00837,0001,964,AVENUE OF THE AMERICAS,,MANHATTAN,10018.0,NEW YORK,MANHATTAN,960,AVENUE OF THE AMERICAS,NEW YORK,10018.0,NEW YORK,HEARING COMPLETED,DISMISSED,MANHATTAN,10/15/2015,10:30:00,MANHATTAN,10/15/2015,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER.REM COMPLY W CODE.,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1008370001
264,037000240J,09/21/2015,02:00:00,DEPT. OF BUILDINGS,JAMES WEST NINETY LIMITED LIAB,,$0.00,1,01221,0029,638,COLUMBUS AVENUE,,MANHATTAN,10024.0,NEW YORK,MANHATTAN,40,WEST 57 STREET,NEW YORK,10019.0,NEW YORK,HEARING COMPLETED,IN VIOLATION,MANHATTAN,11/12/2015,10:30:00,MANHATTAN,10/22/2015,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER.REM COMPLY W CODE,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1012210029
265,037000295R,09/21/2015,11:30:00,DEPT. OF BUILDINGS,CA 2952 HOLDINGS LLC,,$0.00,2,02362,0044,2948,3 AVENUE,,BX,10455.0,NEW YORK,MANHATTAN,1407,BROADWAY,NY,10018.0,NEW YORK,HEARING COMPLETED,IN VIOLATION,BRONX,11/20/2015,10:30:00,STATEN IS,10/26/2015,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER. RMDY:COMPLY W CODE,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023620044
266,037000443J,09/21/2015,10:15:00,DEPT. OF BUILDINGS,FLUSHING HOSPITAL MED CTR,,$0.00,4,05199,0021,146-01,45 AVENUE,,QNS,11355.0,NEW YORK,QUEENS,44-22,PARSONS BOULEVARD,QNS,11355.0,NEW YORK,HEARING COMPLETED,DISMISSED,QUEENS,01/05/2016,08:30:00,QUEENS,01/08/2016,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER. RMDY:COMPLY W CODE,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4051990021
267,037000299Y,09/21/2015,01:30:00,DEPT. OF BUILDINGS,ST BARNABAS HOSP,,$0.00,2,03051,0045,4487,3 AVENUE,,BX,10457.0,NEW YORK,BRONX,4422,3 AVENUE,BX,10457.0,NEW YORK,HEARING COMPLETED,DISMISSED,BRONX,02/12/2016,08:30:00,BRONX,02/18/2016,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER. RMDY:COMPLY W CODE,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2030510045
268,037000477H,09/21/2015,01:45:00,DEPT. OF BUILDINGS,DORMITORY CUNY,042,$0.00,4,06517,0001,64-60,KISSENA BOULEVARD,,QN,11367.0,NEW YORK,QUEENS,63-30,KISSENA BOULEVARD,FLUSHING,11367.0,NEW YORK,WRITTEN OFF,POP IN-VIOL,QUEENS,11/17/2015,10:30:00,,09/25/2015,$800.00,SEC. 287-317.3 FAILURE TO REGISTER COOLING TOWER. REMEDY: COMPLY W CODE.,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4065170001
269,037000304J,09/21/2015,02:00:00,DEPT. OF BUILDINGS,RIVERBAY CORPORATION,,$0.00,2,05135,0051,120,ELGAR PLACE,,BX,10475.0,NEW YORK,BRONX,120,ERSKINE PLACE,BX,10475.0,NEW YORK,HEARING COMPLETED,DISMISSED,BRONX,06/10/2016,08:30:00,BRONX,06/21/2016,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER. RMDY:COMPLY W CODE,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2051350051
270,037000258H,09/21/2015,01:40:00,DEPT. OF BUILDINGS,77 BLEECKER ST CORP,,$0.00,1,00532,0020,218,MERCER STREET,,MANHATTAN,10012.0,NEW YORK,MANHATTAN,440,9 AVENUE,NEW YORK,10001.0,NEW YORK,PAID IN FULL,IN VIOLATION,MANHATTAN,05/26/2016,08:30:00,MANHATTAN,05/27/2016,$800.00,FAILURE TO REGISTER COOLING TOWER; REMEDY: COMPLY W CODE,,,$400.00,$400.00,$0.00,Compliance Due,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1005320020
271,037000306N,09/21/2015,01:15:00,DEPT. OF BUILDINGS,OWNER OF 4428 3 AVE,,$4000.00,2,03064,0020,4428,3 AVENUE,,BX,10457.0,NEW YORK,BRONX,4428,3 AVENUE,BX,10457.0,NEW YORK,DOCKETED,DEFAULTED,BRONX,11/20/2015,10:30:00,,11/25/2015,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER. RMDY:COMPLY W CODE,02/29/2016,,$4000.00,$0.00,$0.00,Both Due,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2030640020
272,037000463R,09/21/2015,01:25:00,DEPT. OF BUILDINGS,DORMITORY CUNY,042,$0.00,4,06517,0001,64-10,KISSENA BOULEVARD,,QN,11367.0,NEW YORK,NOT NYC,515,BROADWAY,ALBANY,12207.0,NEW YORK,HEARING COMPLETED,IN VIOLATION,QUEENS,11/17/2015,08:30:00,BROOKLYN,10/20/2015,$800.00,SEC. 287-317.3 FAILURE TO REGISTER COOLING TOWER. REMEDY: COMPLY W CODE.,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4065170001
273,035133579P,09/02/2015,12:30:00,DEPT. OF BUILDINGS,MAIDEN LANE PROPERTI,,$0.00,1,00042,0001,96,MAIDEN LANE,,NEW YORK,10038.0,NEW YORK,NOT NYC,1999,MARCUS AVENUE,NEW HYDE PARK,11042.0,NEW YORK,PAID IN FULL,STIPULATED,MANHATTAN,10/22/2015,08:30:00,MANHATTAN,10/15/2015,$500.00,"FAILURE TO MAINTAIN EXTERIOR BUILDING.EAST ELEVATION EXP. 2 CHIPPED GRANITE 2ND FL. ROOF BULKHEAD,COOLING TOWER,ELEV MACHINE ROOM MISSING MORTAR.SOUTH EXP. BULKHEAD MISSING MORTAR BUILDING BRICK EVIDENCE OF RU",04/30/2016,,$500.00,$507.00,$0.00,Compliance Due,,B204,AC 28-302.1,FAILURE TO MAINTAIN BUILDING WALL S OR APPURTENANCES,$500.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000420001
274,037000069Z,09/21/2015,06:50:00,DEPT. OF BUILDINGS,153 EAST 32 STREET LLC,,$0.00,1,00888,0031,153,EAST 32 STREET,,MAN,10016.0,NEW YORK,BRONX,1466,ST PETERS AVENUE,BRONX,10461.0,NEW YORK,HEARING COMPLETED,IN VIOLATION,MANHATTAN,11/12/2015,10:30:00,MANHATTAN,09/28/2015,$800.00,"28-317.3,FAILURE TO REGISTER COOLING TOWER.REM:COMPLY W CODE",,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1008880031
275,037000076R,09/21/2015,09:10:00,DEPT. OF BUILDINGS,47TH HOTEL ASSOC LLC,,$0.00,1,00999,0046,128,WEST 47 STREET,,NY,10036.0,NEW YORK,MANHATTAN,128,WEST 47 STREET,NY,10036.0,NEW YORK,HEARING COMPLETED,DISMISSED,MANHATTAN,05/05/2016,08:30:00,MANHATTAN,05/09/2016,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER. RMDY:COMPLY W CODE,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1009990046
276,037000099J,09/21/2015,02:20:00,DEPT. OF BUILDINGS,335 MADISON AV LLC,,$0.00,1,01278,0020,333,MADISON AVENUE,,NY,10017.0,NEW YORK,MANHATTAN,335,MADISON AVENUE,NY,10017.0,NEW YORK,HEARING COMPLETED,IN VIOLATION,MANHATTAN,11/12/2015,10:30:00,MANHATTAN,10/01/2015,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER. RMDY:COMPLY W CODE,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1012780020
277,037000109Y,09/21/2015,01:40:00,DEPT. OF BUILDINGS,YMCA OF GREATER NY,,$0.00,1,01320,0034,220,EAST 47 STREET,,NY,10017.0,NEW YORK,MANHATTAN,224,EAST 47 STREET,NY,10017.0,NEW YORK,HEARING COMPLETED,IN VIOLATION,MANHATTAN,11/12/2015,10:30:00,MANHATTAN,10/01/2015,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER. RMDY:COMPLY W CODE,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1013200034
278,037000173Z,09/21/2015,01:15:00,DEPT. OF BUILDINGS,40 W 20 ST CONDMINIUM,,$0.00,1,00821,7501,40,WEST 20 STREET,,MANHATTAN,10011.0,NEW YORK,NOT NYC,60,CUTTERMILL ROAD,GREAT NECK,11021.0,NEW YORK,HEARING COMPLETED,IN VIOLATION,MANHATTAN,11/12/2015,10:30:00,MANHATTAN,10/01/2015,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER.REM:COMPLY W CODE.,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1008217501
279,037000206X,09/21/2015,07:47:00,DEPT. OF BUILDINGS,1350 BROADWAY LLC,,$0.00,1,00811,0031,1332,BROADWAY,,NY,10018.0,NEW YORK,MANHATTAN,1185,AVENUE OF THE AMERICAS,NY,10036.0,NEW YORK,HEARING COMPLETED,IN VIOLATION,MANHATTAN,11/12/2015,10:30:00,MANHATTAN,10/01/2015,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER. RMDY:COMPLY W CODE,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1008110031
280,037000354H,09/21/2015,03:52:00,DEPT. OF BUILDINGS,RED HOOK STORES,,$0.00,3,00611,0006,472,VAN BRUNT STREET,,BKLYN,11231.0,NEW YORK,BROOKLYN,175,VAN DYKE STREET,BKLYN,11231.0,NEW YORK,HEARING COMPLETED,IN VIOLATION,BROOKLYN,11/09/2015,10:30:00,,10/01/2015,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER. RMDY: COMPLY W CODE.,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3006110006
281,037000040P,09/21/2015,09:30:00,DEPT. OF BUILDINGS,THE PORTER HOUSE CONDO,,$0.00,1,00738,7502,366,WEST 15 STREET,,MANHATTAN,10011.0,NEW YORK,MANHATTAN,366,WEST 15 STREET,NEW YORK,10011.0,NEW YORK,HEARING COMPLETED,IN VIOLATION,MANHATTAN,11/12/2015,10:30:00,MANHATTAN,10/02/2015,$800.00,FAILURE TO REGISTER COOLING TOWER; REMEDY: COMPLY W CODE,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1007387502
282,037000083P,09/21/2015,07:55:00,DEPT. OF BUILDINGS,NYC INDUSTRIAL DEV AGENCY,8,$0.00,1,01085,0041,518,WEST 57 STREET,,NEW YORK,10019.0,NEW YORK,MANHATTAN,51,WEST 52 STREET,NEW YORK,10019.0,NEW YORK,HEARING COMPLETED,IN VIOLATION,MANHATTAN,11/12/2015,10:30:00,MANHATTAN,10/02/2015,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER.REM:COMPLY W CODE.,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1010850041
283,037000095M,09/21/2015,05:00:00,DEPT. OF BUILDINGS,FORTY-SEVENTH FIFTH CO LLC,,$0.00,1,01263,0034,580,5 AVENUE,,NY,10036.0,NEW YORK,MANHATTAN,580,5 AVENUE,NY,10036.0,NEW YORK,HEARING COMPLETED,IN VIOLATION,MANHATTAN,11/12/2015,10:30:00,MANHATTAN,10/02/2015,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER. RMDY:COMPLY W CODE,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1012630034
284,037000106Z,09/21/2015,04:10:00,DEPT. OF BUILDINGS,"PLAZA 52, LLC",,$0.00,1,01306,0042,154,EAST 52 STREET,,MANHATTAN,10022.0,NEW YORK,MANHATTAN,232,MADISON AVENUE,NEW YORK,10016.0,NEW YORK,HEARING COMPLETED,IN VIOLATION,MANHATTAN,11/12/2015,10:30:00,MANHATTAN,10/02/2015,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER.REM COMPLY W CODE.,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1013060042
285,037000150X,09/21/2015,10:15:00,DEPT. OF BUILDINGS,210 EAST 86 ST CORP,,$0.00,1,01531,0040,210,EAST 86 STREET,,MANHATTAN,10028.0,NEW YORK,MANHATTAN,429,EAST 52 STREET,NEW YORK,10022.0,NEW YORK,HEARING COMPLETED,IN VIOLATION,MANHATTAN,11/12/2015,10:30:00,MANHATTAN,10/02/2015,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER.REM COMPLY W CODE.,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1015310040
286,037000281X,09/21/2015,09:50:00,DEPT. OF BUILDINGS,240 PARK AVENUE SOUTH CONDO,,$0.00,1,00848,7505,234,PARK AVENUE SOUTH,,MANHATTAN,10003.0,NEW YORK,MANHATTAN,240,PARK AVENUE SOUTH,NEW YORK,10003.0,NEW YORK,HEARING COMPLETED,IN VIOLATION,MANHATTAN,11/12/2015,10:30:00,MANHATTAN,10/02/2015,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER.REM COMPLY W CODE,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1008487505
287,037000377K,09/21/2015,04:48:00,DEPT. OF BUILDINGS,ST PATRICKS RC CH,,$0.00,3,,0000,9515,REAR 4 AVENUE,,BROOKLYN,11209.0,NEW YORK,BROOKLYN,9511,4 AVENUE,BROOKLYN,11209.0,NEW YORK,HEARING COMPLETED,IN VIOLATION,BROOKLYN,11/09/2015,10:30:00,,10/02/2015,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER.REM:COMPLY W CODE.,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30000
