Ticket Number,Violation Date,Violation Time,Issuing Agency,Respondent Last Name,Respondent First Name,Balance Due,Violation Location (Borough),Violation Location (Block No.),Violation Location (Lot No.),Violation Location (House #),Violation Location (Street Name),Violation Location (Floor),Violation Location (City),Violation Location (Zip Code),Violation Location (State Name),Respondent Address (Borough),Respondent Address (House #),Respondent Address (Street Name),Respondent Address (City),Respondent Address (Zip Code),Respondent Address (State Name),Hearing Status,Hearing Result,Scheduled Hearing Location,Hearing Date,Hearing Time,Decision Location (Borough),Decision Date,Total Violation Amount,Violation Details,Date Judgment Docketed,Respondent Address or Facility Number(For FDNY and DOB Tickets),Penalty Imposed,Paid Amount,Additional Penalties or Late Fees,Compliance Status,Violation Description,Charge #1: Code,Charge #1: Code Section,Charge #1: Code Description,Charge #1: Infraction Amount,Charge #2: Code,Charge #2: Code Section,Charge #2: Code Description,Charge #2: Infraction Amount,Charge #3: Code,Charge #3: Code Section,Charge #3: Code Description,Charge #3: Infraction Amount,Charge #4: Code,Charge #4: Code Section,Charge #4: Code Description,Charge #4: Infraction Amount,Charge #5: Code,Charge #5: Code Section,Charge #5: Code Description,Charge #5: Infraction Amount,Charge #6: Code,Charge #6: Code Section,Charge #6: Code Description,Charge #6: Infraction Amount,Charge #7: Code,Charge #7: Code Section,Charge #7: Code Description,Charge #7: Infraction Amount,Charge #8: Code,Charge #8: Code Section,Charge #8: Code Description,Charge #8: Infraction Amount,Charge #9: Code,Charge #9: Code Section,Charge #9: Code Description,Charge #9: Infraction Amount,Charge #10: Code,Charge #10: Code Section,Charge #10: Code Description,Charge #10: Infraction Amount
037000213Y,09/21/2015,02:10:00,DEPT. OF BUILDINGS,SHUBERT ORG,,$0.00,MANHATTAN,01024,0046,226,WEST 53 STREET,,NY,10019,NEW YORK,MANHATTAN,234,WEST 44 STREET,NY,10036,NEW YORK,HEARING COMPLETED,IN VIOLATION,MANHATTAN,11/12/2015,10:30:00,MANHATTAN,11/06/2015,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER. RMDY:COMPLY W CODE,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
037000288Z,09/21/2015,07:05:00,DEPT. OF BUILDINGS,DORMITORY CUNY,042,$0.00,MANHATTAN,01957,0100,275,ST NICHOLAS TERRACE,,MH,10031,NEW YORK,MANHATTAN,181,CONVENT AVENUE,NY,10031,NEW YORK,WRITTEN OFF,POP IN-VIOL,MANHATTAN,11/12/2015,10:30:00,,09/25/2015,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER.REM:COMPLY WITH CODE,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
037000340R,09/21/2015,06:43:00,DEPT. OF BUILDINGS,DEPT OF GENERAL SERVICES,8 126,$0.00,BRONX,,,2670,DR KAZIMIROFF BOULEVARD,,BX,,NEW YORK,MANHATTAN,2,LAFAYETTE STREET,NY,10007,NEW YORK,HEARING COMPLETED,IN VIOLATION,BRONX,11/20/2015,10:30:00,STATEN IS,10/07/2015,$800.00,SEC. 287-317.3 FAILURE TO REGISTER COOLING TOWER. REMEDY: COMPLY W CODE.,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
037000203K,09/21/2015,10:00:00,DEPT. OF BUILDINGS,413 WEST 14 ASSOCS,,$0.00,MANHATTAN,00712,0021,413,WEST 14 STREET,,MANHATTAN,10014,NEW YORK,MANHATTAN,421,WEST 13 STREET,NEW YORK,10014,NEW YORK,HEARING COMPLETED,DISMISSED,MANHATTAN,03/31/2016,08:30:00,MANHATTAN,03/31/2016,$800.00,FAILURE TO REGISTER COOLING TOWER; REMEDY: COMPLY W CODE,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
037000205Y,09/21/2015,04:10:00,DEPT. OF BUILDINGS,214 WEST 39TH ST,,$0.00,MANHATTAN,00788,0056,216,WEST 39 STREET,,NY,10018,NEW YORK,MANHATTAN,214,WEST 39 STREET,NY,10018,NEW YORK,HEARING COMPLETED,DISMISSED,MANHATTAN,04/28/2016,08:30:00,MANHATTAN,04/28/2016,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER. RMDY:COMPLY W CODE,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
037000220M,09/21/2015,12:00:00,DEPT. OF BUILDINGS,754 FIFTH AVENUE ASSOC,,$4000.00,MANHATTAN,01293,0069,745,5 AVENUE,,MANHATTAN,10022,NEW YORK,NOT NYC,1201,ELM ST,DALLAS,75270,TEXAS,DOCKETED,DEFAULTED,MANHATTAN,11/12/2015,10:30:00,,11/17/2015,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER.REM COMPLY W CODE.,02/29/2016,,$4000.00,$0.00,$0.00,Both Due,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
037000246K,09/21/2015,04:30:00,DEPT. OF BUILDINGS,960 ASSOCIATES LLC,,$0.00,MANHATTAN,00837,0001,964,AVENUE OF THE AMERICAS,,MANHATTAN,10018,NEW YORK,MANHATTAN,960,AVENUE OF THE AMERICAS,NEW YORK,10018,NEW YORK,HEARING COMPLETED,DISMISSED,MANHATTAN,10/15/2015,10:30:00,MANHATTAN,10/15/2015,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER.REM COMPLY W CODE.,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
037000240J,09/21/2015,02:00:00,DEPT. OF BUILDINGS,JAMES WEST NINETY LIMITED LIAB,,$0.00,MANHATTAN,01221,0029,638,COLUMBUS AVENUE,,MANHATTAN,10024,NEW YORK,MANHATTAN,40,WEST 57 STREET,NEW YORK,10019,NEW YORK,HEARING COMPLETED,IN VIOLATION,MANHATTAN,11/12/2015,10:30:00,MANHATTAN,10/22/2015,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER.REM COMPLY W CODE,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
037000295R,09/21/2015,11:30:00,DEPT. OF BUILDINGS,CA 2952 HOLDINGS LLC,,$0.00,BRONX,02362,0044,2948,3 AVENUE,,BX,10455,NEW YORK,MANHATTAN,1407,BROADWAY,NY,10018,NEW YORK,HEARING COMPLETED,IN VIOLATION,BRONX,11/20/2015,10:30:00,STATEN IS,10/26/2015,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER. RMDY:COMPLY W CODE,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
037000443J,09/21/2015,10:15:00,DEPT. OF BUILDINGS,FLUSHING HOSPITAL MED CTR,,$0.00,QUEENS,05199,0021,146-01,45 AVENUE,,QNS,11355,NEW YORK,QUEENS,44-22,PARSONS BOULEVARD,QNS,11355,NEW YORK,HEARING COMPLETED,DISMISSED,QUEENS,01/05/2016,08:30:00,QUEENS,01/08/2016,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER. RMDY:COMPLY W CODE,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
037000299Y,09/21/2015,01:30:00,DEPT. OF BUILDINGS,ST BARNABAS HOSP,,$0.00,BRONX,03051,0045,4487,3 AVENUE,,BX,10457,NEW YORK,BRONX,4422,3 AVENUE,BX,10457,NEW YORK,HEARING COMPLETED,DISMISSED,BRONX,02/12/2016,08:30:00,BRONX,02/18/2016,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER. RMDY:COMPLY W CODE,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
037000477H,09/21/2015,01:45:00,DEPT. OF BUILDINGS,DORMITORY CUNY,042,$0.00,QUEENS,06517,0001,64-60,KISSENA BOULEVARD,,QN,11367,NEW YORK,QUEENS,63-30,KISSENA BOULEVARD,FLUSHING,11367,NEW YORK,WRITTEN OFF,POP IN-VIOL,QUEENS,11/17/2015,10:30:00,,09/25/2015,$800.00,SEC. 287-317.3 FAILURE TO REGISTER COOLING TOWER. REMEDY: COMPLY W CODE.,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
037000304J,09/21/2015,02:00:00,DEPT. OF BUILDINGS,RIVERBAY CORPORATION,,$0.00,BRONX,05135,0051,120,ELGAR PLACE,,BX,10475,NEW YORK,BRONX,120,ERSKINE PLACE,BX,10475,NEW YORK,HEARING COMPLETED,DISMISSED,BRONX,06/10/2016,08:30:00,BRONX,06/21/2016,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER. RMDY:COMPLY W CODE,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
037000258H,09/21/2015,01:40:00,DEPT. OF BUILDINGS,77 BLEECKER ST CORP,,$0.00,MANHATTAN,00532,0020,218,MERCER STREET,,MANHATTAN,10012,NEW YORK,MANHATTAN,440,9 AVENUE,NEW YORK,10001,NEW YORK,PAID IN FULL,IN VIOLATION,MANHATTAN,05/26/2016,08:30:00,MANHATTAN,05/27/2016,$800.00,FAILURE TO REGISTER COOLING TOWER; REMEDY: COMPLY W CODE,,,$400.00,$400.00,$0.00,Compliance Due,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
037000306N,09/21/2015,01:15:00,DEPT. OF BUILDINGS,OWNER OF 4428 3 AVE,,$4000.00,BRONX,03064,0020,4428,3 AVENUE,,BX,10457,NEW YORK,BRONX,4428,3 AVENUE,BX,10457,NEW YORK,DOCKETED,DEFAULTED,BRONX,11/20/2015,10:30:00,,11/25/2015,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER. RMDY:COMPLY W CODE,02/29/2016,,$4000.00,$0.00,$0.00,Both Due,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
037000463R,09/21/2015,01:25:00,DEPT. OF BUILDINGS,DORMITORY CUNY,042,$0.00,QUEENS,06517,0001,64-10,KISSENA BOULEVARD,,QN,11367,NEW YORK,NOT NYC,515,BROADWAY,ALBANY,12207,NEW YORK,HEARING COMPLETED,IN VIOLATION,QUEENS,11/17/2015,08:30:00,BROOKLYN,10/20/2015,$800.00,SEC. 287-317.3 FAILURE TO REGISTER COOLING TOWER. REMEDY: COMPLY W CODE.,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
035133579P,09/02/2015,12:30:00,DEPT. OF BUILDINGS,MAIDEN LANE PROPERTI,,$0.00,MANHATTAN,00042,0001,96,MAIDEN LANE,,NEW YORK,10038,NEW YORK,NOT NYC,1999,MARCUS AVENUE,NEW HYDE PARK,11042,NEW YORK,PAID IN FULL,STIPULATED,MANHATTAN,10/22/2015,08:30:00,MANHATTAN,10/15/2015,$500.00,"FAILURE TO MAINTAIN EXTERIOR BUILDING.EAST ELEVATION EXP. 2 CHIPPED GRANITE 2ND FL. ROOF BULKHEAD,COOLING TOWER,ELEV MACHINE ROOM MISSING MORTAR.SOUTH EXP. BULKHEAD MISSING MORTAR BUILDING BRICK EVIDENCE OF RU",04/30/2016,,$500.00,$507.00,$0.00,Compliance Due,,B204,AC 28-302.1,FAILURE TO MAINTAIN BUILDING WALL S OR APPURTENANCES,$500.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
037000069Z,09/21/2015,06:50:00,DEPT. OF BUILDINGS,153 EAST 32 STREET LLC,,$0.00,MANHATTAN,00888,0031,153,EAST 32 STREET,,MAN,10016,NEW YORK,BRONX,1466,ST PETERS AVENUE,BRONX,10461,NEW YORK,HEARING COMPLETED,IN VIOLATION,MANHATTAN,11/12/2015,10:30:00,MANHATTAN,09/28/2015,$800.00,"28-317.3,FAILURE TO REGISTER COOLING TOWER.REM:COMPLY W CODE",,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
037000076R,09/21/2015,09:10:00,DEPT. OF BUILDINGS,47TH HOTEL ASSOC LLC,,$0.00,MANHATTAN,00999,0046,128,WEST 47 STREET,,NY,10036,NEW YORK,MANHATTAN,128,WEST 47 STREET,NY,10036,NEW YORK,HEARING COMPLETED,DISMISSED,MANHATTAN,05/05/2016,08:30:00,MANHATTAN,05/09/2016,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER. RMDY:COMPLY W CODE,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
037000099J,09/21/2015,02:20:00,DEPT. OF BUILDINGS,335 MADISON AV LLC,,$0.00,MANHATTAN,01278,0020,333,MADISON AVENUE,,NY,10017,NEW YORK,MANHATTAN,335,MADISON AVENUE,NY,10017,NEW YORK,HEARING COMPLETED,IN VIOLATION,MANHATTAN,11/12/2015,10:30:00,MANHATTAN,10/01/2015,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER. RMDY:COMPLY W CODE,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
037000109Y,09/21/2015,01:40:00,DEPT. OF BUILDINGS,YMCA OF GREATER NY,,$0.00,MANHATTAN,01320,0034,220,EAST 47 STREET,,NY,10017,NEW YORK,MANHATTAN,224,EAST 47 STREET,NY,10017,NEW YORK,HEARING COMPLETED,IN VIOLATION,MANHATTAN,11/12/2015,10:30:00,MANHATTAN,10/01/2015,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER. RMDY:COMPLY W CODE,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
037000173Z,09/21/2015,01:15:00,DEPT. OF BUILDINGS,40 W 20 ST CONDMINIUM,,$0.00,MANHATTAN,00821,7501,40,WEST 20 STREET,,MANHATTAN,10011,NEW YORK,NOT NYC,60,CUTTERMILL ROAD,GREAT NECK,11021,NEW YORK,HEARING COMPLETED,IN VIOLATION,MANHATTAN,11/12/2015,10:30:00,MANHATTAN,10/01/2015,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER.REM:COMPLY W CODE.,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
037000206X,09/21/2015,07:47:00,DEPT. OF BUILDINGS,1350 BROADWAY LLC,,$0.00,MANHATTAN,00811,0031,1332,BROADWAY,,NY,10018,NEW YORK,MANHATTAN,1185,AVENUE OF THE AMERICAS,NY,10036,NEW YORK,HEARING COMPLETED,IN VIOLATION,MANHATTAN,11/12/2015,10:30:00,MANHATTAN,10/01/2015,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER. RMDY:COMPLY W CODE,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
037000354H,09/21/2015,03:52:00,DEPT. OF BUILDINGS,RED HOOK STORES,,$0.00,BROOKLYN,00611,0006,472,VAN BRUNT STREET,,BKLYN,11231,NEW YORK,BROOKLYN,175,VAN DYKE STREET,BKLYN,11231,NEW YORK,HEARING COMPLETED,IN VIOLATION,BROOKLYN,11/09/2015,10:30:00,,10/01/2015,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER. RMDY: COMPLY W CODE.,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
037000040P,09/21/2015,09:30:00,DEPT. OF BUILDINGS,THE PORTER HOUSE CONDO,,$0.00,MANHATTAN,00738,7502,366,WEST 15 STREET,,MANHATTAN,10011,NEW YORK,MANHATTAN,366,WEST 15 STREET,NEW YORK,10011,NEW YORK,HEARING COMPLETED,IN VIOLATION,MANHATTAN,11/12/2015,10:30:00,MANHATTAN,10/02/2015,$800.00,FAILURE TO REGISTER COOLING TOWER; REMEDY: COMPLY W CODE,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
037000083P,09/21/2015,07:55:00,DEPT. OF BUILDINGS,NYC INDUSTRIAL DEV AGENCY,8,$0.00,MANHATTAN,01085,0041,518,WEST 57 STREET,,NEW YORK,10019,NEW YORK,MANHATTAN,51,WEST 52 STREET,NEW YORK,10019,NEW YORK,HEARING COMPLETED,IN VIOLATION,MANHATTAN,11/12/2015,10:30:00,MANHATTAN,10/02/2015,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER.REM:COMPLY W CODE.,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
037000095M,09/21/2015,05:00:00,DEPT. OF BUILDINGS,FORTY-SEVENTH FIFTH CO LLC,,$0.00,MANHATTAN,01263,0034,580,5 AVENUE,,NY,10036,NEW YORK,MANHATTAN,580,5 AVENUE,NY,10036,NEW YORK,HEARING COMPLETED,IN VIOLATION,MANHATTAN,11/12/2015,10:30:00,MANHATTAN,10/02/2015,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER. RMDY:COMPLY W CODE,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
037000106Z,09/21/2015,04:10:00,DEPT. OF BUILDINGS,"PLAZA 52, LLC",,$0.00,MANHATTAN,01306,0042,154,EAST 52 STREET,,MANHATTAN,10022,NEW YORK,MANHATTAN,232,MADISON AVENUE,NEW YORK,10016,NEW YORK,HEARING COMPLETED,IN VIOLATION,MANHATTAN,11/12/2015,10:30:00,MANHATTAN,10/02/2015,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER.REM COMPLY W CODE.,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
037000150X,09/21/2015,10:15:00,DEPT. OF BUILDINGS,210 EAST 86 ST CORP,,$0.00,MANHATTAN,01531,0040,210,EAST 86 STREET,,MANHATTAN,10028,NEW YORK,MANHATTAN,429,EAST 52 STREET,NEW YORK,10022,NEW YORK,HEARING COMPLETED,IN VIOLATION,MANHATTAN,11/12/2015,10:30:00,MANHATTAN,10/02/2015,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER.REM COMPLY W CODE.,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
037000281X,09/21/2015,09:50:00,DEPT. OF BUILDINGS,240 PARK AVENUE SOUTH CONDO,,$0.00,MANHATTAN,00848,7505,234,PARK AVENUE SOUTH,,MANHATTAN,10003,NEW YORK,MANHATTAN,240,PARK AVENUE SOUTH,NEW YORK,10003,NEW YORK,HEARING COMPLETED,IN VIOLATION,MANHATTAN,11/12/2015,10:30:00,MANHATTAN,10/02/2015,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER.REM COMPLY W CODE,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
037000377K,09/21/2015,04:48:00,DEPT. OF BUILDINGS,ST PATRICKS RC CH,,$0.00,BROOKLYN,,,9515,REAR 4 AVENUE,,BROOKLYN,11209,NEW YORK,BROOKLYN,9511,4 AVENUE,BROOKLYN,11209,NEW YORK,HEARING COMPLETED,IN VIOLATION,BROOKLYN,11/09/2015,10:30:00,,10/02/2015,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER.REM:COMPLY W CODE.,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
037000391R,09/21/2015,03:15:00,DEPT. OF BUILDINGS,45 MAIN ASSOCIATES LLC,,$0.00,BROOKLYN,00037,0001,35,MAIN STREET,,BROOKLYN,11201,NEW YORK,BROOKLYN,45,MAIN STREET,BROOKLYN,11201,NEW YORK,HEARING COMPLETED,IN VIOLATION,BROOKLYN,11/09/2015,10:30:00,,10/02/2015,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER.REM:COMPLY W CODE.,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
037000392Z,09/21/2015,12:46:00,DEPT. OF BUILDINGS,45 MAIN ASSOCIATES LLC,,$0.00,BROOKLYN,00037,0001,100,WATER STREET,,BKLYN,11201,NEW YORK,BROOKLYN,45,MAIN STREET,BKLYN,11201,NEW YORK,HEARING COMPLETED,IN VIOLATION,BROOKLYN,11/09/2015,10:30:00,,10/02/2015,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER. RMDY: COMPLY W CODE.,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
037000446P,09/21/2015,02:10:00,DEPT. OF BUILDINGS,CHARLES SCATURRO SONS,,$0.00,QUEENS,08853,0105,84-39,JAMAICA AVENUE,,QNS,11421,NEW YORK,QUEENS,258-01,HILLSIDE AVENUE,FLORAL PARK,11004,NEW YORK,HEARING COMPLETED,IN VIOLATION,QUEENS,11/17/2015,10:30:00,BROOKLYN,10/02/2015,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER. RMDY: COMPLY W CODE.,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
037000451J,09/21/2015,07:50:00,DEPT. OF BUILDINGS,WATERBRIDGE COURT SQUARE HOLDI,GS,$0.00,QUEENS,00079,0030,25-01,JACKSON AVENUE,,QNS,11101,NEW YORK,QUEENS,25-01,JACKSON AVENUE,QNS,11101,NEW YORK,HEARING COMPLETED,IN VIOLATION,QUEENS,11/17/2015,10:30:00,BROOKLYN,10/02/2015,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER. RMDY: COMPLY W CODE.,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
037000057L,09/21/2015,10:45:00,DEPT. OF BUILDINGS,452 FIFTH OWNERS LLC,,$0.00,MANHATTAN,00841,0031,11,WEST 39 STREET,,NY,10018,NEW YORK,NOT NYC,,POBOX 2021,WARREN,48090,MICHIGAN,HEARING COMPLETED,IN VIOLATION,MANHATTAN,11/12/2015,10:30:00,MANHATTAN,10/07/2015,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER. RMDY:COMPLY W CODE,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
037000428L,09/21/2015,04:45:00,DEPT. OF BUILDINGS,OWNER OF 253 4 AVENUE,,$0.00,BROOKLYN,00961,7502,253,4 AVENUE,,BKLYN,11215,NEW YORK,BROOKLYN,255,4 AVENUE,BKLYN,11215,NEW YORK,HEARING COMPLETED,IN VIOLATION,BROOKLYN,11/09/2015,10:30:00,,10/07/2015,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER. RMDY: COMPLY W CODE.,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
037000450H,09/21/2015,11:05:00,DEPT. OF BUILDINGS,JFK HOTEL PARTNERS LLC,,$0.00,QUEENS,12099,0030,144-02,135 AVENUE,,QN,11436,NEW YORK,NOT NYC,420,GREAT NECK RD,GREAT NECK,11021,NEW YORK,HEARING COMPLETED,IN VIOLATION,QUEENS,11/17/2015,10:30:00,BROOKLYN,10/07/2015,$800.00,SEC. 287-317.3 FAILURE TO REGISTER COOLING TOWER. REMEDY: COMPLY W CODE.,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
